SpeciesLatinName,SpeciesCommonName,Order,n_tissues,n_samples,adult_mass_g,max_lifespan_y,maturity_y,gestation_y,span_y,arocm,arocm_mean_states,contrast,tissues,log_mass,log_lifespan,log_span,log_arocm,log_contrast,implied_cor,lq_resid,longevity_quotient,resid_M1,resid_M2,resid_M3,resid_M4,resid_M5,resid_student,cooks_d,p_outlier,q_outlier,signif,fit_lo,fit_hi
Acinonyx jubatus,Cheetah,Carnivora,1,14,53500.0,20.5,1.249315068,0.24109589,11.400410677000002,0.221575606,0.10044328500000001,2.205977293554268,Blood,10.887436932884098,3.0204248861443626,2.433649379049836,-1.506991411395828,0.7911706277385673,0.7292086621727735,-0.47345514787756393,0.622846519382209,0.7372358880350214,0.31995940630626185,0.12337490362551518,0.3768027103211278,0.15126252575842147,0.8785615761980186,0.0035461868325367715,0.38136608507918746,0.9764587990474115,False,-1.9285490115645734,-1.7375014789282215
Acomys cahirinus,Spiny mouse,Rodentia,2,107,45.2,5.9,0.160273973,0.104109589,3.2621175279037384,0.7022515849946103,0.3081855805324345,2.2956999927336788,Fibroblast|Skin,3.8110970868381857,1.7749523509116738,1.1823765329500666,-0.35346355597703416,0.831037804734201,0.661304851566256,-0.7937839704541232,0.45213070506487574,0.8307390363298138,0.15446362696419547,0.09616272244431023,0.3142140261282089,0.05628834638585467,0.4254570893686986,0.001519948222515819,0.6712530506518416,0.9764587990474115,False,-0.6096070305239025,-0.40227488313708964
Antrozous pallidus,Pallid bat,Chiroptera,1,23,20.8,14.8,1.0,0.169863014,6.7999999932,0.488544112,0.20639302344444443,2.367057296059734,Skin,3.0349529867072724,2.6946271807700692,1.916922611182061,-0.7163255106549952,0.8616475364322632,0.959007652593295,0.22736207898574667,1.255284297730922,0.3516119021484946,0.4837169718087905,0.40333200510065514,0.3335862375947124,0.35102202672857874,1.340070202111903,0.013916230480363532,0.18271302826859406,0.9764587990474115,False,-1.299611796712216,-1.1057577665375955
Aonyx cinereus,Asian small-clawed otter,Carnivora,1,12,3000.0,23.0,2.0,0.17260274,10.588219188000002,0.21314321900000002,0.08359668461111111,2.549661149739788,Blood,8.006367567650246,3.1354942159291497,2.3597419856995043,-1.5457909495540056,0.9359604678856941,0.6514840994692189,0.018278286085550377,1.0184463564074746,0.26685663825623096,0.16218276899785122,-0.049622664043332154,0.47987855009786096,0.06251650113327378,0.4430645774633811,0.000539804884189623,0.658503671844348,0.9764587990474115,False,-1.775512352965735,-1.648635330127229
Apodemus sylvaticus,Long-tailed field mouse,Rodentia,3,90,23.4,6.3,0.18630137,0.063013699,0.7981126301399999,2.4527543318155796,1.3333344835940693,2.000055720797211,Blood|Liver|Skin,3.152736022363656,1.840549633397487,-0.22550555096539962,0.8972116101654318,0.6931750405704571,0.5651029987972119,-0.6421141401953896,0.5261788314948135,1.9827927385891657,0.04280208515431916,0.02056721581380283,0.16681908130309664,-0.04243205088278579,0.12063117110154294,0.0003648878697948298,0.904181623069567,0.9764587990474115,False,0.6754563893945129,1.0353036254048344
Balaena mysticetus,Bowhead whale,Artiodactyla,1,79,100000000.0,211.0,22.49863014,1.164383562,138.000000207,0.007454049999999997,0.0053436158333333315,1.3949449647000884,Skin,18.420680743952367,5.351858133476067,4.927253686657204,-4.89899777013968,0.33285496266719156,0.2969482468550744,0.8730998574050668,2.394321416719327,-1.5263022599878027,-0.5529498016051306,-0.5734954289608494,0.027558259888716907,-0.2521796456073387,-1.5774444309907694,0.06487468348212475,0.11728279362106854,0.9764587990474115,False,-4.567931147647207,-4.1330565392312195
Bos taurus,Cattle,Artiodactyla,3,452,750000.0,38.0,1.501369863,0.75890411,11.480530971278762,0.10716990947815505,0.1074492023548918,1.3297573287540736,Blood|Oocyte|Skin,13.527828485512494,3.6375861597263857,2.440652641675387,-2.2333397649141613,0.28499646600248424,0.355176493546415,-0.20149233805070654,0.8175098412550532,0.4064140839985577,-0.35564285892877057,-0.33491509580103807,-0.09114214130760029,-0.2126688881597878,-0.9852976368695329,0.009822239882108659,0.3264279196336226,0.9764587990474115,False,-2.023460835307161,-1.7448776441558855
Callithrix jacchus,Common marmoset,Primates,1,95,255.2,22.8,1.176712329,0.394520548,15.0799999824,0.197598886,0.0686816610925926,2.8770254367262424,Blood,5.542047551470635,3.126760535960395,2.7133693614127012,-1.621516131336083,1.0567569259367362,0.8601916249745359,0.3317238991612279,1.3933680853011683,-0.1780198505917816,0.38479954492057145,0.5062994344268454,0.564994976523097,0.26179682938027726,1.059417764766026,0.006078774034253535,0.2915025446462447,0.9764587990474115,False,-2.089252989740835,-1.9310413027054687
Canis lupus familiaris,Dog,Carnivora,1,742,26625.0,24.0,1.832876712,0.169863014,17.4,0.18996119199999997,0.08739721255555555,2.1735383365830794,Blood,10.189605903011726,3.1780538303479458,2.856470206220483,-1.6609354803156395,0.7763564094706294,0.9541650644300048,-0.22459344721676766,0.7988409237509565,0.47875781578072685,0.5602259933026623,0.347425608465854,0.35188483950326066,0.37354939210782157,1.5454731829820216,0.007823472658944865,0.12482193600070125,0.9764587990474115,False,-2.304588296572408,-2.1459371503875553
Capra hircus,Domestic goat,Artiodactyla,1,78,61000.0,20.8,1.494520548,0.424657534,7.632876700800002,0.290502545,0.1290999237592593,2.2502146906121983,Skin,11.018629143155449,3.0349529867072724,2.0324647992468505,-1.2361429419712313,0.8110256297141821,0.6400996141579489,-0.4760788024765854,0.6212145270753683,1.027736746589508,0.20791710666837848,0.2251629337578156,0.3985571986381302,0.06265535040496484,0.5718019995484511,0.002260387067614406,0.5685081599329715,0.9764587990474115,False,-1.5620812800368475,-1.33588384283488
