SpeciesLatinName,SpeciesCommonName,Tissue,MammalNumberHorvath,Order,adult_mass_g,gestation_y,maturity_y,max_lifespan_y,age_range_lo,age_range_hi,n_samples,TxEx2-,BivProm2+,BivProm2-,ReprPC1+,ReprPC1-,BivProm1+,BivProm1-,EnhWk4-,TxEx1-,PromF5+,PromF5-,TxEnh4-,TxEx3-,EnhA17-,BivProm4+,BivProm4-,Tx7-,PromF4+,PromF4-,TxEnh5-,TxWk2-,BivProm3+,BivProm3-,EnhA2-,TxWk1-,TSS1+,TSS1-,EnhWk8-,EnhA6-,EnhWk3-,Tx6-,Tx5-,TSS2+,TSS2-,Tx8-,ReprPC4-,Quies3-,ReprPC2+,ReprPC2-,ReprPC6-,ReprPC3-,EnhA18-,PromF3+,PromF3-,TxEx4-,ReprPC5-,TxEnh8-,ReprPC7-,EnhA19-,Tx4-,PromF2+,Quies1-,Acet2-,PromF1+
Acinonyx jubatus,Cheetah,Blood,5.2.1,Carnivora,53500.0,0.24109589,1.249315068,20.5,0.05021619,0.606333784,14,-0.130012259,0.221575606,0.217410316,0.222363056,0.219766875,0.201573316,0.15282066,-0.053272016,-0.153540395,-0.074009252,0.041111351,-0.091731553,-0.10493068,-0.07144321,-0.054314964,-0.141026109,-0.063056246,-0.063062716,0.039356372,-0.065109677,-0.107690894,0.149017733,0.023051574,-0.133199383,-0.038523948,0.060083384,0.091954437,-0.089153671,-0.080640247,-0.127559663,0.001863006,-0.108046845,0.038750076,0.048763975,-0.101985458,-0.025069749,-0.028680204,0.159381175,-0.016415812,-0.063205384,0.053960122,-0.05894117,0.023593283,-0.18816158,-0.122390555,0.109225412,-0.169190897,0.068338962,-0.18007747,-0.185855064,-0.196020306,0.0725901,0.073765743,-0.047303479
Acomys cahirinus,Spiny mouse,Fibroblast,9.9.5,Rodentia,45.2,0.104109589,0.160273973,5.9,-0.008822847,0.677501741,46,-0.373631551,0.604077231,0.589506308,0.564381176,0.372639465,0.577574189,0.525972296,-0.315381275,-0.385425037,0.092423176,0.440225659,-0.128678267,-0.325521055,0.034003677,0.009589493,0.131814279,-0.403088978,0.17401259,0.213432537,-0.123589547,-0.273029526,0.413275887,0.165188073,0.042250139,-0.40009575,-0.044175666,0.245064714,-0.422892748,-0.203494992,-0.065070224,-0.406689797,-0.388919565,0.507814961,0.598070321,-0.198128013,-0.376223942,-0.443494262,0.529740857,-0.119679646,-0.257734871,-0.391228921,-0.089702404,0.309084928,-0.183855726,-0.388584839,0.251780369,0.042926809,-0.074697386,0.375703555,-0.434254474,0.311993798,-0.540941057,-0.14709668,0.464224024
Acomys cahirinus,Spiny mouse,Skin,9.9.5,Rodentia,45.2,0.104109589,0.160273973,5.9,0.01346645,0.465753425,61,-0.351627119,0.786703275,0.501598026,0.442219997,0.043170756,0.891014209,0.775590491,-0.182466088,-0.369407391,0.529709567,0.386071146,-0.138561167,-0.202615274,0.070985614,0.422977172,0.168778588,-0.172506792,0.077732105,0.348050014,-0.169211376,-0.147472247,0.608517757,-0.125275533,-0.459416975,-0.049356105,0.450277767,0.353928745,-0.1694183,-0.140127884,-0.222601632,-0.101111665,-0.15622762,0.677039807,0.751471886,-0.112873293,-0.190588776,-0.101299117,0.333728468,-0.220233844,-0.321112137,-0.26819801,-0.237255902,0.043260703,-0.51257171,-0.877702342,-0.070578409,-0.222023231,-0.416696009,0.310853487,-0.362734072,0.286806835,-0.321026238,0.038429512,0.064783151
Antrozous pallidus,Pallid bat,Skin,8.7.1,Chiroptera,20.8,0.169863014,1.0,14.8,0.013513514,0.472972973,23,-0.075877156,0.488544112,0.451095572,0.322371244,0.223115278,0.403360168,0.48573431,-0.25667992,-0.000521729,0.476959951,0.288571062,0.143291127,-0.082475677,-0.06380097,0.138429065,0.191460782,0.130885028,0.010023747,-0.143765596,-0.069021743,-0.308368129,0.334569616,0.019669662,-0.11544514,0.044931396,-0.284662852,0.168091343,-0.314294536,-0.284464643,-0.082513186,0.109638809,-0.22186757,0.471240268,0.36155118,-0.058511861,-0.381026122,-0.191653352,0.273081122,-0.213985682,-0.169886771,-0.118563023,-0.241584434,0.135144418,-0.118066332,-0.100288441,0.098396296,0.203752155,-0.197997058,0.335263535,-0.010720651,-0.0737252,-0.377259019,-0.276298337,0.00272689
Aonyx cinereus,Asian small-clawed otter,Blood,5.6.1,Carnivora,3000.0,0.17260274,2.0,23.0,0.330077427,0.790434783,12,0.129942641,0.213143219,0.122525854,0.206613314,0.173893296,0.198365279,0.123462343,-0.005055247,0.133296687,0.115117916,0.069843409,0.128978935,0.087193233,-0.016590026,0.117735105,-0.000102864,0.140972721,-0.107677692,-0.065151,0.060831267,-0.002827223,0.110718059,0.044410029,-0.080359987,0.094413676,-0.080114767,-0.030830719,-0.00423485,0.03669904,-0.008683006,0.14704555,0.062997457,0.045387328,0.03835047,0.086287627,-0.006914031,0.070513362,0.170762129,0.059279191,-0.017568397,-0.047109581,0.039420527,0.096565047,-0.031219579,0.065671591,-0.008663175,0.083238473,0.087074158,0.076386809,0.144995409,-0.137279133,-0.071727302,-0.0748428,0.135138439
Apodemus sylvaticus,Long-tailed field mouse,Blood,9.9.15,Rodentia,23.4,0.063013699,0.18630137,6.3,0.025657752,0.16612307,36,-0.750707104,3.360816167,3.969648837,3.041784391,1.804894189,3.556144588,2.416131545,0.296744166,-1.218603971,3.542239101,1.2140208,0.197023759,-0.809299117,0.785054263,3.32293343,0.443031545,-1.116936491,-2.12746832,-0.097646835,-0.018320008,-0.048533635,2.396019324,2.291836463,0.273534783,-1.11381658,-0.221761514,0.03832264,0.434390417,0.405443957,0.619317307,-1.628478853,-1.148210422,3.4398216,0.859317943,-0.281435661,-0.195247762,-1.152471275,2.402982765,1.370248285,0.413997238,0.689541891,0.638682152,2.298700653,0.448569439,-0.535434412,1.26729022,0.034611629,0.962481743,0.71750826,-1.003982378,2.052900899,-1.165557232,0.45954544,0.244803279
Apodemus sylvaticus,Long-tailed field mouse,Liver,9.9.15,Rodentia,23.4,0.063013699,0.18630137,6.3,0.025657752,0.112198304,23,-0.880971064,1.588135867,2.287035904,-0.271681821,1.449605162,2.887649567,2.097338451,1.032781364,-2.81808026,4.738168227,3.658986665,-2.877074565,0.503640666,2.304171204,2.769851694,-0.159637299,-1.224713974,-2.303403666,-0.489316083,1.99668522,2.325791798,2.833006325,2.302165706,-0.478625518,-0.794155316,-0.376060949,0.288816071,2.351157401,1.903597378,2.254414562,0.000855732,0.040074166,3.471434845,-0.232400426,0.349556801,1.771860984,0.793854983,0.315851372,3.047511721,3.45925205,1.828497229,1.630007521,1.085908541,-0.327219781,-4.212308589,1.815661526,-2.033674606,3.178162701,2.593656796,-2.006987774,3.263269468,1.124304637,1.450729855,1.306966533
Apodemus sylvaticus,Long-tailed field mouse,Skin,9.9.15,Rodentia,23.4,0.063013699,0.18630137,6.3,0.025657752,0.16612307,31,-0.829766198,2.348836658,3.14559829,1.7877231,1.925134325,3.201118751,1.817042175,0.797176948,-0.162821253,2.732521612,1.577642313,0.845437502,0.209524193,1.646899771,2.445997897,1.478766,-0.842940655,-0.108670994,0.021831636,1.017107934,0.808125126,2.537763695,1.596797852,0.667284793,0.022404409,-0.306500736,0.479398867,0.395365859,1.411742265,0.955600488,-0.59273706,0.084732162,3.215893879,1.222678897,1.115334809,-0.002674653,-0.3758516,1.082515972,1.501557873,1.07151513,0.922279332,1.15872195,0.719385669,0.17811531,0.607599032,1.716632888,0.855270635,0.535122897,2.271225772,0.106252093,2.855657015,-1.354831629,1.326966346,0.061138022
Balaena mysticetus,Bowhead whale,Skin,4.11.1,Artiodactyla,100000000.0,1.164383562,22.49863014,211.0,0.004739336,0.658767773,79,-0.001257392,0.00745405,-0.000260217,0.00202879,-0.002106766,-0.009977165,0.003528589,0.003204893,0.004285581,-0.007016639,-0.000843872,-0.011275629,-0.005335037,0.00312951,-0.009806765,0.001189425,0.008302371,0.014860224,0.008751212,-0.005547629,-0.003084061,0.010680777,-0.007767424,-0.005432057,0.006056919,0.014460812,0.004681851,0.003751241,0.001401341,-0.005768259,0.0089531,0.0034761,0.001397675,-0.000791214,0.006138868,0.007091316,0.005744525,0.008260005,-0.000440513,-0.004574346,0.006514364,0.001896731,-0.002826306,-0.004406799,-0.009785879,0.002240539,0.001572101,-0.008960652,-0.007025849,0.007561711,-0.004417958,0.004245273,-0.001931167,-0.005055766
Bos taurus,Cattle,Blood,4.1.4,Artiodactyla,750000.0,0.75890411,1.501369863,38.0,0.013410238,0.379596251,277,-0.132438475,0.082355697,0.031881536,0.044691672,-0.012253668,0.075403464,0.035505212,-0.180761522,-0.1627052,0.087565754,0.105254191,-0.17387496,-0.170499261,-0.165209206,0.001298123,-0.130255023,-0.136921099,0.097924537,0.090528309,-0.178812906,-0.189562556,0.098089824,-0.109651526,-0.221573633,-0.181041671,0.114646222,0.122097483,-0.190929227,-0.207020216,-0.218252713,-0.143494087,-0.188572245,0.094712499,0.042204465,-0.185826599,-0.198496433,-0.200994421,0.013793207,-0.173416346,-0.140939777,-0.186542405,-0.166276954,0.153985927,0.016068742,-0.181104515,-0.112105845,-0.201763551,-0.171058454,-0.165492306,-0.154379586,0.012543487,-0.201929996,-0.196634378,0.111026953
