state,family,coef,abs
EnhA2-,EnhA,0.1872853800686104,0.1872853800686104
TxEx4-,TxEx,-0.16522292394844965,0.16522292394844965
ReprPC1-,ReprPC,0.14437599097214862,0.14437599097214862
PromF5-,PromF,-0.11963583625058115,0.11963583625058115
BivProm3-,BivProm,0.10869750651603366,0.10869750651603366
BivProm2-,BivProm,-0.07454453717232284,0.07454453717232284
ReprPC4-,ReprPC,0.059184138231074074,0.059184138231074074
ReprPC5-,ReprPC,-0.058095727548100176,0.058095727548100176
TSS1+,TSS,0.045122108207971114,0.045122108207971114
ReprPC2+,ReprPC,-0.04392579533817936,0.04392579533817936
TxEx2-,TxEx,-0.04371152621546964,0.04371152621546964
TxEx3-,TxEx,0.043607653689198465,0.043607653689198465
TxEnh4-,TxEnh,0.040309047781434376,0.040309047781434376
EnhA19-,EnhA,-0.03936834310791799,0.03936834310791799
TxEnh5-,TxEnh,0.03231351172753634,0.03231351172753634
PromF3+,PromF,-0.031927509595502085,0.031927509595502085
TSS1-,TSS,0.030784764463478848,0.030784764463478848
BivProm2+,BivProm,-0.02985338810224569,0.02985338810224569
BivProm4+,BivProm,0.025346808821325163,0.025346808821325163
EnhWk8-,EnhWk,0.024934520352889872,0.024934520352889872
BivProm4-,BivProm,-0.021478023488839173,0.021478023488839173
TSS2+,TSS,-0.021382579244113614,0.021382579244113614
EnhWk3-,EnhWk,0.019892182202432523,0.019892182202432523
ReprPC1+,ReprPC,-0.015431166324854001,0.015431166324854001
PromF2+,PromF,0.013055041947887522,0.013055041947887522
EnhA6-,EnhA,-0.011777459276531782,0.011777459276531782
TSS2-,TSS,-0.008849193645151675,0.008849193645151675
Quies3-,Quies,-0.00784937610991262,0.00784937610991262
BivProm3+,BivProm,-0.003443553351905738,0.003443553351905738
Tx5-,Tx,0.0030606035624753517,0.0030606035624753517
BivProm1-,BivProm,0.0,0.0
BivProm1+,BivProm,-0.0,0.0
Tx7-,Tx,-0.0,0.0
PromF4+,PromF,-0.0,0.0
PromF5+,PromF,-0.0,0.0
TxEx1-,TxEx,-0.0,0.0
EnhWk4-,EnhWk,0.0,0.0
EnhA17-,EnhA,-0.0,0.0
TxWk2-,TxWk,-0.0,0.0
PromF4-,PromF,-0.0,0.0
TxWk1-,TxWk,0.0,0.0
Tx6-,Tx,-0.0,0.0
Tx8-,Tx,-0.0,0.0
ReprPC3-,ReprPC,-0.0,0.0
EnhA18-,EnhA,-0.0,0.0
ReprPC2-,ReprPC,-0.0,0.0
PromF3-,PromF,0.0,0.0
ReprPC6-,ReprPC,-0.0,0.0
ReprPC7-,ReprPC,0.0,0.0
TxEnh8-,TxEnh,0.0,0.0
Tx4-,Tx,-0.0,0.0
Quies1-,Quies,-0.0,0.0
Acet2-,Acet,0.0,0.0
PromF1+,PromF,0.0,0.0
