state,family,spearman_rho,spearman_p,pearson_logr,pearson_p,q
PromF5-,PromF,-0.3221289280017299,0.0002346997620605961,-0.26465571871276317,0.0027468339749701434,0.01267378715127219
BivProm1+,BivProm,-0.2846939119605536,0.0012337355097928966,-0.19740446856067104,0.026717127002278233,0.01867239987210256
BivProm1-,BivProm,-0.28046113628669356,0.0014682555179428417,-0.1626893856831288,0.0687392429204971,0.01867239987210256
PromF5+,PromF,-0.2744404553671775,0.0018720026981246926,-0.1854315601142642,0.03763720152883376,0.01867239987210256
BivProm2-,BivProm,-0.23195970673675065,0.008960974012222265,-0.26715608959984205,0.0024937625893206197,0.06463908578037296
TSS2-,TSS,-0.2291248569764404,0.009859585979337762,-0.19118099108152486,0.03199805319003524,0.06463908578037296
BivProm2+,BivProm,-0.2188144034037565,0.013831327265394334,-0.20123738719179457,0.023849873758386063,0.0746891672331294
ReprPC2+,ReprPC,-0.21383466731686226,0.016205931486332297,-0.15065766616967477,0.09220108410224007,0.07955639093290401
TSS2+,TSS,-0.19275778433703183,0.03058278601134893,-0.17222172662398616,0.053811390684911545,0.10321690278830263
BivProm4+,BivProm,-0.1715219097833427,0.05480771518074128,-0.08966654716167118,0.318043530872735,0.14393671039112466
BivProm3+,BivProm,-0.16378831964357574,0.06686317763773574,-0.13292834282883884,0.137851511223628,0.16411870874716952
ReprPC1+,ReprPC,-0.13775269946396448,0.12399909532303527,-0.18807476732317402,0.034948705099374824,0.2575365825939963
TxEx4-,TxEx,-0.12144256385887793,0.17553766895420506,-0.08614998995731876,0.33746892217283037,0.3260851680528438
PromF3-,PromF,-0.0961539040923008,0.2841460283551219,-0.06507473653100078,0.46909642418874786,0.47949642284926824
PromF3+,PromF,-0.0924491004372922,0.30319633942562296,-0.11998738128010647,0.18080769131125426,0.49613946451465574
ReprPC5-,ReprPC,-0.07374509170127698,0.4118428524183382,-0.08863127795650291,0.32368564371967967,0.6354146865882931
EnhA19-,EnhA,-0.05121628566960509,0.5689858087644262,-0.011995053187899922,0.8939505639922535,0.8055282704340382
PromF4-,PromF,-0.050655315399575435,0.5732309597651462,-0.034559916102307,0.7008430628889268,0.8055282704340382
TxEx1-,TxEx,-0.023224769147430595,0.7963034605772272,0.009017193641585711,0.9201767962252708,0.9284418864686521
Quies1-,Quies,-0.012572333698899719,0.8888787438685988,0.14129864634226705,0.11452079221542182,0.9464957721858145
EnhA18-,EnhA,0.0018988993632554334,0.983163747598673,-0.0912422611055225,0.3095789823710649,0.983163747598673
ReprPC2-,ReprPC,0.004055785053904182,0.9640494937768593,-0.061079255715484136,0.4968751251115046,0.9822391068669888
ReprPC1-,ReprPC,0.007775587913993815,0.9311387488211733,0.08776796099178415,0.32843958884800006,0.9669517776219876
TSS1+,TSS,0.011999364064805267,0.893912673731047,-0.02995235960957403,0.7391808288018801,0.9464957721858145
TxEnh4-,TxEnh,0.013169302061123782,0.8836386761935364,0.19764900354601325,0.026525798331350887,0.9464957721858145
Quies3-,Quies,0.019618960245956614,0.8273913356679857,0.05874274227944464,0.5135122138769022,0.930815252626484
PromF2+,PromF,0.021853841803026595,0.808088308593086,-0.02539329004221767,0.7777566265358445,0.9284418864686521
ReprPC4-,ReprPC,0.030391389335135542,0.7354983425375832,0.20685142218599534,0.020127943928230425,0.8825980110450997
PromF4+,PromF,0.03131534036812555,0.7277681182348648,0.0005249369692433364,0.9953454248561987,0.8825980110450997
EnhWk4-,EnhWk,0.03425218472298664,0.7033815080673895,0.16409058524846187,0.06635452674664817,0.8825980110450997
TSS1-,TSS,0.043767680426377215,0.626521988115363,0.0038590200893873763,0.9657925368178712,0.8055282704340382
PromF1+,PromF,0.04467663225428622,0.619369512174048,0.040525911629579685,0.6523112058971665,0.8055282704340382
EnhA6-,EnhA,0.04635054354132655,0.6062906959983487,0.02643967476701579,0.7688509932232459,0.8055282704340382
ReprPC3-,ReprPC,0.04639254131555337,0.6059641276735608,0.09580253618002003,0.2859176350459285,0.8055282704340382
BivProm4-,BivProm,0.053454167067691266,0.552199911888677,-0.03449468972756988,0.7013808343186132,0.8055282704340382
Acet2-,Acet,0.07453404988853793,0.4068447008234589,0.14688930475533232,0.10073277644794476,0.6354146865882931
TxEx2-,TxEx,0.114752918392749,0.2007238304126062,0.054983547990188286,0.5408682153931358,0.3496479626542172
TxWk2-,TxWk,0.11989164605350183,0.18115842669602436,0.13829750281534942,0.122504753108733,0.3260851680528438
Tx6-,Tx,0.12319147117132329,0.16935473602404869,-0.024640298457306083,0.7841831983310601,0.3260851680528438
Tx4-,Tx,0.13579380328038504,0.1294884425728972,0.0412086498685428,0.6468442371763701,0.2589768851457944
ReprPC6-,ReprPC,0.14254344556683798,0.1113304099429763,0.1580642895295626,0.07710860453831848,0.2404736854768288
BivProm3-,BivProm,0.14976106305181835,0.09417713452139932,0.1330131375084375,0.13759826483035348,0.21189855267314847
EnhA17-,EnhA,0.15487279214342542,0.08334821853779187,0.06457872990982556,0.47249811871715525,0.1956871217843809
EnhWk8-,EnhWk,0.17071495254998456,0.05597538737432625,0.2100917912665746,0.018216517506356875,0.14393671039112466
Tx8-,Tx,0.17161790469586116,0.05467015519599261,0.049545903316118904,0.5816698629397026,0.14393671039112466
Tx7-,Tx,0.1760366705127257,0.04863934116471384,0.0316358957663636,0.7250925302818931,0.14393671039112466
EnhWk3-,EnhWk,0.18211134857053335,0.04125862821691438,0.12802220035531953,0.15311651836627027,0.13105681904196334
TxEnh8-,TxEnh,0.19429670277834313,0.0292530814630107,0.14056419955866858,0.11643622658725909,0.10321690278830263
TxWk1-,TxWk,0.19779151756221763,0.026414832938500412,0.1491434414139736,0.09555773184140573,0.10188578419135873
ReprPC7-,ReprPC,0.19855047733931658,0.02583053595718944,0.14406963323322108,0.10751388838874874,0.10188578419135873
Tx5-,Tx,0.20346721676487056,0.02230636762350748,0.1447521926695817,0.10584049410464207,0.10037865430578365
TxEx3-,TxEx,0.226466997836086,0.010773180963395492,0.2629732951232292,0.0029299263733067833,0.06463908578037296
TxEnh5-,TxEnh,0.27185159257019575,0.0020747110969002846,0.21339673888268915,0.016430763304978332,0.01867239987210256
EnhA2-,EnhA,0.2848469038523799,0.0012259376529618652,0.2846907589695817,0.0012338966896468838,0.01867239987210256
