state,family,importance,importance_sd
EnhA2-,EnhA,0.1613598492113672,0.024167543562992628
BivProm1-,BivProm,0.07825863635208011,0.014252090145465836
BivProm3-,BivProm,0.07057603838847766,0.011765050051547593
TxEx4-,TxEx,0.04573639099045797,0.00876734436238732
PromF5-,PromF,0.036367255142833545,0.00700259478718285
ReprPC7-,ReprPC,0.03361782892891136,0.005816046713422595
BivProm1+,BivProm,0.032450041791728224,0.004618627498134544
TxEnh5-,TxEnh,0.02837745626664732,0.004258073872227672
EnhWk8-,EnhWk,0.02244015977405358,0.00252734895732098
ReprPC5-,ReprPC,0.021067356187280097,0.004459397233328233
ReprPC2-,ReprPC,0.019659002408805415,0.004847832478397382
ReprPC3-,ReprPC,0.018885749204731933,0.0023642562151912987
TSS2+,TSS,0.01810843282132945,0.0031385758624230802
ReprPC1-,ReprPC,0.017474036036455483,0.004125747430961591
EnhA19-,EnhA,0.01610674442747744,0.0029639460063829465
ReprPC4-,ReprPC,0.015011685437355704,0.0016195246549590477
BivProm2-,BivProm,0.01489029868616772,0.003435072109091772
TxEnh4-,TxEnh,0.01466140042352479,0.0016297814721353595
PromF5+,PromF,0.014373823645039974,0.0030472922311723465
Acet2-,Acet,0.014079009636264184,0.0014841583523586077
TxEnh8-,TxEnh,0.012390387129644093,0.002385116951832042
TSS1+,TSS,0.01202794970504581,0.002251848382334306
PromF4+,PromF,0.011067794656489443,0.002135093808635716
Tx6-,Tx,0.010984776266687557,0.0011894683171293158
Tx7-,Tx,0.010378121929096346,0.001731793669347512
TSS1-,TSS,0.01015363938315167,0.00330977327506366
TSS2-,TSS,0.009741888120179149,0.0016396784070618078
ReprPC1+,ReprPC,0.009414568782014437,0.0019194137286762693
PromF2+,PromF,0.00931070594173813,0.0017574250185165418
BivProm2+,BivProm,0.009055427718610514,0.0023760796681273682
BivProm4-,BivProm,0.00896666808303695,0.001406771598991768
Tx4-,Tx,0.00767612582054431,0.0012251828695488682
EnhWk4-,EnhWk,0.007277220680537983,0.001025581530787509
TxEx1-,TxEx,0.0071788985875488485,0.0019833903978650667
PromF1+,PromF,0.00705892836832212,0.0010267263842839006
EnhWk3-,EnhWk,0.006861397418638326,0.0010358986874438646
ReprPC2+,ReprPC,0.006718301447626007,0.0009672543420884171
EnhA6-,EnhA,0.005831921952330893,0.001214251328003311
EnhA18-,EnhA,0.005794464940961924,0.0013055221127651585
Quies1-,Quies,0.005689776230704091,0.0008015389783891268
BivProm3+,BivProm,0.004756910841167372,0.0005593482448121046
Tx8-,Tx,0.004481733479604738,0.0005759867842034759
TxEx2-,TxEx,0.004430487986761872,0.0005652819494856049
EnhA17-,EnhA,0.004363088524722458,0.0008411526955583784
BivProm4+,BivProm,0.004052884430318598,0.0005738337269041365
Quies3-,Quies,0.004017407101431547,0.0006309898917196633
TxEx3-,TxEx,0.003808368388232669,0.0012425352684026303
PromF3-,PromF,0.003797473105035809,0.0006746967140799013
TxWk1-,TxWk,0.003543605264225369,0.0007539190986927037
PromF4-,PromF,0.0032839894847419117,0.0004988061907355485
TxWk2-,TxWk,0.002806507368138783,0.0005967918761471956
PromF3+,PromF,0.00277494229905747,0.0004300605483571756
ReprPC6-,ReprPC,0.0024251675677747996,0.0006390457017293235
Tx5-,Tx,0.0017591528381131483,0.00043245462163629266
