CGid,SYMBOL,seqnames,start,annotation,distanceToTSS,GENENAME,genic,Promoter,main_Categories
cg00098422,WDR26,chr1,224389815.0,3' UTR,44978.0,WD repeat domain 26,True,False,threeUTR
cg00258262,LINC02609,chr1,90828767.0,"Exon (ENST00000658618.1/105378853, exon 2 of 2)",22760.0,long intergenic non-protein coding RNA 2609,True,False,Exon
cg00493843,MYCL,chr1,39898349.0,"Intron (ENST00000418255.1/ENST00000418255.1, intron 1 of 1)",3663.0,"MYCL proto-oncogene, bHLH transcription factor",True,False,Intron
cg00694357,ZBTB7B,chr1,155004171.0,"Intron (ENST00000417934.6/51043, intron 1 of 4)",1541.0,zinc finger and BTB domain containing 7B,True,False,Intron
cg00864083,FOXJ3,chr1,42205807.0,"Exon (ENST00000372572.5/22887, exon 8 of 15)",129157.0,forkhead box J3,True,False,Exon
cg00935831,RNF220,chr1,44603247.0,"Intron (ENST00000355387.6/55182, intron 2 of 14)",198053.0,ring finger protein 220,True,False,Intron
cg01136078,FOXO6,chr1,41383526.0,"Exon (ENST00000372591.1/100132074, exon 2 of 2)",21604.0,forkhead box O6,True,False,Exon
cg01169686,GORAB,chr1,170564460.0,Distal Intergenic,19820.0,"golgin, RAB6 interacting",False,False,Intergenic_downstream
cg01328716,RNF19B,chr1,32938452.0,"Exon (ENST00000373456.11/127544, exon 8 of 9)",26232.0,ring finger protein 19B,True,False,Exon
cg01534197,CAMTA1,chr1,7041502.0,"Intron (ENST00000303635.12/23261, intron 3 of 22)",256048.0,calmodulin binding transcription activator 1,True,False,Intron
cg01550545,NFIA,chr1,61447809.0,"Intron (ENST00000371191.5/4774, intron 10 of 10)",582550.0,nuclear factor I A,True,False,Intron
cg01648457,CCNL2,chr1,1393454.0,3' UTR,5880.0,cyclin L2,True,False,threeUTR
cg02034779,CAMK2N1,chr1,20482558.0,3' UTR,3651.0,calcium/calmodulin dependent protein kinase II inhibitor 1,True,False,threeUTR
cg02172466,CASZ1,chr1,10647946.0,"Exon (ENST00000606802.1/ENST00000606802.1, exon 2 of 2)",148699.0,castor zinc finger 1,True,False,Exon
cg02270238,RPL11,chr1,23696379.0,3' UTR,4637.0,ribosomal protein L11,True,False,threeUTR
cg02456804,FAM78B,chr1,166070621.0,"Exon (ENST00000435676.2/149297, exon 2 of 3)",95603.0,family with sequence similarity 78 member B,True,False,Exon
cg02551294,LINC01739,chr1,62999399.0,"Intron (ENST00000641890.1/105378769, intron 1 of 1)",11797.0,long intergenic non-protein coding RNA 1739,True,False,Intron
cg02681015,PRDM16,chr1,3069253.0,Promoter (<=1kb),85.0,PR/SET domain 16,True,True,fiveUTR
cg02800363,AHDC1,chr1,27561568.0,"Intron (ENST00000247087.10/27245, intron 1 of 5)",42023.0,AT-hook DNA binding motif containing 1,True,False,Intron
cg03420509,FAF1,chr1,50570234.0,"Intron (ENST00000396153.7/11124, intron 12 of 18)",390032.0,Fas associated factor 1,True,False,Intron
cg03521797,PHC2,chr1,33368611.0,"Exon (ENST00000257118.5/1912, exon 5 of 14)",6981.0,polyhomeotic homolog 2,True,False,Exon
cg03564272,CASZ1,chr1,10673616.0,"Intron (ENST00000377022.8/54897, intron 4 of 20)",123029.0,castor zinc finger 1,True,False,Intron
cg03905052,DPYD,chr1,97536915.0,"Intron (ENST00000370192.7/1806, intron 12 of 22)",384107.0,dihydropyrimidine dehydrogenase,True,False,Intron
cg04584281,ELAVL4,chr1,50197459.0,"Exon (ENST00000448907.7/1996, exon 6 of 7)",149445.0,ELAV like RNA binding protein 4,True,False,Exon
cg04996684,DENND1B,chr1,197675972.0,"Intron (ENST00000620048.6/163486, intron 3 of 22)",99507.0,DENN domain containing 1B,True,False,Intron
cg05033071,FOXO6,chr1,41362275.0,Promoter (<=1kb),353.0,forkhead box O6,True,True,Exon
cg05551621,FOXD3-AS1,chr1,63323562.0,Promoter (<=1kb),19.0,FOXD3 antisense RNA 1,True,True,Exon
cg05675373,KCNC4,chr1,110211635.0,Promoter (<=1kb),292.0,potassium voltage-gated channel subfamily C member 4,True,True,Exon
cg05817746,ERI3,chr1,44296999.0,"Intron (ENST00000456170.6/79033, intron 3 of 6)",22744.0,ERI1 exoribonuclease family member 3,True,False,Intron
cg05866252,FOXO6,chr1,41381046.0,"Intron (ENST00000372591.1/100132074, intron 1 of 1)",19124.0,forkhead box O6,True,False,Intron
cg05933505,WASF2,chr1,27428840.0,"Exon (ENST00000618852.5/10163, exon 2 of 9)",61278.0,WASP family member 2,True,False,Exon
cg06004718,POU2F1,chr1,167398080.0,3' UTR,177194.0,POU class 2 homeobox 1,True,False,threeUTR
cg06244551,SFPQ,chr1,35184683.0,"Intron (ENST00000460428.5/6421, intron 3 of 5)",3358.0,splicing factor proline and glutamine rich,True,False,Intron
cg06333141,PPP2R5A,chr1,212329287.0,"Exon (ENST00000261461.7/5525, exon 2 of 13)",43877.0,protein phosphatase 2 regulatory subunit B'alpha,True,False,Exon
cg06392591,PBX1,chr1,164651460.0,"Intron (ENST00000340699.7/5087, intron 3 of 3)",92053.0,PBX homeobox 1,True,False,Intron
cg06413694,RPS6KC1,chr1,213340471.0,Distal Intergenic,98411.0,ribosomal protein S6 kinase C1,False,False,Intergenic_downstream
cg06607996,ZBTB7B,chr1,155005126.0,"Intron (ENST00000417934.6/51043, intron 1 of 4)",2496.0,zinc finger and BTB domain containing 7B,True,False,Intron
cg06655463,USH2A,chr1,216041211.0,"Intron (ENST00000307340.8/7399, intron 32 of 71)",382236.0,usherin,True,False,Intron
cg06828322,ERI3,chr1,44326509.0,"Intron (ENST00000372257.7/79033, intron 3 of 8)",28747.0,ERI1 exoribonuclease family member 3,True,False,Intron
cg07069838,PSMB2,chr1,35659780.0,Distal Intergenic,-18255.0,proteasome 20S subunit beta 2,False,False,Intergenic_upstream
cg07081182,RPS6KC1,chr1,213159525.0,"Intron (ENST00000543354.5/26750, intron 5 of 13)",108292.0,ribosomal protein S6 kinase C1,True,False,Intron
cg07265990,MIER1,chr1,66946224.0,"Exon (ENST00000371018.7/57708, exon 5 of 16)",21329.0,MIER1 transcriptional regulator,True,False,Exon
cg07388493,NDUFS5,chr1,39025787.0,Promoter (<=1kb),-530.0,NADH:ubiquinone oxidoreductase subunit S5,False,True,Promoter
cg07601141,MIR137HG,chr1,98046153.0,"Exon (ENST00000424528.2/400765, exon 3 of 5)",3709.0,MIR137 host gene,True,False,Exon
cg07727941,FAM78B,chr1,166166176.0,Promoter (<=1kb),48.0,family with sequence similarity 78 member B,True,True,Exon
cg07774376,ERI3,chr1,44326598.0,"Intron (ENST00000372257.7/79033, intron 3 of 8)",28658.0,ERI1 exoribonuclease family member 3,True,False,Intron
cg07881279,PEX14,chr1,10533813.0,"Intron (ENST00000472851.1/5195, intron 3 of 3)",61525.0,peroxisomal biogenesis factor 14,True,False,Intron
cg07991826,CLK2,chr1,155268734.0,"Exon (ENST00000361168.9/1196, exon 4 of 13)",4504.0,CDC like kinase 2,True,False,Exon
cg08040307,ZZZ3,chr1,77633377.0,5' UTR,49280.0,zinc finger ZZ-type containing 3,True,False,fiveUTR
cg08216101,ID3,chr1,23562470.0,Promoter (2-3kb),-2969.0,"inhibitor of DNA binding 3, HLH protein",False,True,Promoter
cg08402704,LINC01763,chr1,90851824.0,Promoter (<=1kb),702.0,long intergenic non-protein coding RNA 1763,True,True,Exon
cg09023627,SPEN,chr1,15872997.0,"Exon (ENST00000375759.8/23013, exon 2 of 15)",25290.0,spen family transcriptional repressor,True,False,Exon
cg09025625,SHC1,chr1,154970033.0,Promoter (<=1kb),707.0,SHC adaptor protein 1,True,True,Exon
cg09169719,SRRM1,chr1,24647166.0,3' UTR,14100.0,serine and arginine repetitive matrix 1,True,False,threeUTR
cg09316860,PEX14,chr1,10598780.0,"Intron (ENST00000356607.9/5195, intron 3 of 8)",123830.0,peroxisomal biogenesis factor 14,True,False,Intron
cg09360996,PROX1,chr1,213996654.0,"Exon (ENST00000471129.1/5629, exon 2 of 2)",13473.0,prospero homeobox 1,True,False,Exon
cg09576428,UBE2Q1,chr1,154550324.0,3' UTR,8337.0,ubiquitin conjugating enzyme E2 Q1,True,False,threeUTR
cg09642734,ZBTB7B,chr1,155007795.0,"Intron (ENST00000417934.6/51043, intron 1 of 4)",5165.0,zinc finger and BTB domain containing 7B,True,False,Intron
cg09809672,EDARADD,chr1,236394382.0,5' UTR,46125.0,EDAR associated death domain,True,False,fiveUTR
cg10045881,CHI3L2,chr1,111227669.0,5' UTR,26898.0,chitinase 3 like 2,True,False,fiveUTR
cg10061379,POU2F1,chr1,167222434.0,"Intron (ENST00000559038.5/5451, intron 1 of 4)",1558.0,POU class 2 homeobox 1,True,False,Intron
cg10235290,RNF220,chr1,44581211.0,"Intron (ENST00000355387.6/55182, intron 2 of 14)",176017.0,ring finger protein 220,True,False,Intron
cg10501210,MIR29B2CHG,chr1,207823675.0,"Intron (ENST00000608023.5/100128537, intron 2 of 4)",45474.0,MIR29B2 and MIR29C host gene,True,False,Intron
cg10559644,NFASC,chr1,204968962.0,"Exon (ENST00000404977.6/23114, exon 11 of 26)",140311.0,neurofascin,True,False,Exon
cg11025714,KIRREL1,chr1,158089480.0,"Exon (ENST00000368172.1/55243, exon 5 of 11)",96207.0,kirre like nephrin family adhesion molecule 1,True,False,Exon
cg11254527,ZMYM4,chr1,35408094.0,"Exon (ENST00000314607.11/9202, exon 26 of 30)",139385.0,zinc finger MYM-type containing 4,True,False,Exon
cg11276577,HIVEP3,chr1,41524866.0,"Exon (ENST00000643665.1/59269, exon 5 of 8)",137458.0,HIVEP zinc finger 3,True,False,Exon
cg11480265,MAGI3,chr1,113682225.0,"Exon (ENST00000369617.8/260425, exon 22 of 22)",291710.0,"membrane associated guanylate kinase, WW and PDZ domain containing 3",True,False,Exon
cg11672180,LINC00466,chr1,63317732.0,Promoter (<=1kb),-459.0,long intergenic non-protein coding RNA 466,False,True,Promoter
cg12338698,PHC2,chr1,33334138.0,"Exon (ENST00000431992.5/1912, exon 8 of 13)",41454.0,polyhomeotic homolog 2,True,False,Exon
cg12421693,ESRRG,chr1,216518256.0,"Intron (ENST00000616180.4/2104, intron 6 of 6)",196996.0,estrogen related receptor gamma,True,False,Intron
cg12425327,LINC01739,chr1,62928845.0,Distal Intergenic,82269.0,long intergenic non-protein coding RNA 1739,False,False,Intergenic_downstream
cg12460432,FOXO6,chr1,41315165.0,"Intron (ENST00000657314.1/ENST00000657314.1, intron 1 of 1)",-46708.0,forkhead box O6,True,False,Intron
cg12651099,KCNC4,chr1,110211650.0,Promoter (<=1kb),307.0,potassium voltage-gated channel subfamily C member 4,True,True,Exon
cg12721805,SLC22A15,chr1,116031406.0,"Exon (ENST00000369503.9/55356, exon 6 of 12)",54893.0,solute carrier family 22 member 15,True,False,Exon
cg12733826,PROX1-AS1,chr1,213892396.0,"Intron (ENST00000433082.6/100505832, intron 4 of 5)",95985.0,PROX1 antisense RNA 1,True,False,Intron
cg12923877,SRSF11,chr1,70230602.0,"Exon (ENST00000463116.1/9295, exon 1 of 2)",24920.0,serine and arginine rich splicing factor 11,True,False,Exon
cg13057591,BEND5,chr1,48776789.0,Promoter (<=1kb),101.0,BEN domain containing 5,True,True,Exon
cg13275239,UBAP2L,chr1,154261012.0,"Exon (ENST00000343815.10/9898, exon 23 of 25)",40833.0,ubiquitin associated protein 2 like,True,False,Exon
cg13401299,CDKN2C,chr1,50968722.0,5' UTR,7977.0,cyclin dependent kinase inhibitor 2C,True,False,fiveUTR
cg13581054,MIR3659,chr1,38134567.0,"Intron (ENST00000641212.1/ENST00000641212.1, intron 2 of 4)",45337.0,microRNA 3659,True,False,Intron
cg13705955,SSBP3,chr1,54258201.0,"Intron (ENST00000326956.11/23648, intron 2 of 13)",98616.0,single stranded DNA binding protein 3,True,False,Intron
cg13753818,WDR26,chr1,224431495.0,"Exon (ENST00000414423.8/80232, exon 3 of 14)",3298.0,WD repeat domain 26,True,False,Exon
cg14002724,TBX15,chr1,118992974.0,Promoter (3-4kb),-3419.0,T-box transcription factor 15,False,True,Promoter
cg14258341,LINC01398,chr1,46448351.0,"Intron (ENST00000635298.1/729041, intron 1 of 3)",2965.0,long intergenic non-protein coding RNA 1398,True,False,Intron
cg14565725,TBX15,chr1,118989421.0,Promoter (<=1kb),134.0,T-box transcription factor 15,True,True,fiveUTR
cg14668921,RNF220,chr1,44619490.0,"Intron (ENST00000355387.6/55182, intron 3 of 14)",214296.0,ring finger protein 220,True,False,Intron
cg14676280,SRRM1,chr1,24647108.0,3' UTR,14042.0,serine and arginine repetitive matrix 1,True,False,threeUTR
cg14738500,GFI1,chr1,92486763.0,Promoter (<=1kb),161.0,growth factor independent 1 transcriptional repressor,True,True,fiveUTR
cg14988489,CASZ1,chr1,10856467.0,Distal Intergenic,-59817.0,castor zinc finger 1,False,False,Intergenic_upstream
cg15343536,NFIA,chr1,61152215.0,"Intron (ENST00000371191.5/4774, intron 2 of 10)",286956.0,nuclear factor I A,True,False,Intron
cg15403305,LINC01343,chr1,38207517.0,"Intron (ENST00000671301.1/ENST00000671301.1, intron 1 of 1)",7249.0,long intergenic non-protein coding RNA 1343,True,False,Intron
cg15444935,POU2F1,chr1,167389738.0,3' UTR,168852.0,POU class 2 homeobox 1,True,False,threeUTR
cg15726426,KCNA3,chr1,110674217.0,Promoter (<=1kb),722.0,potassium voltage-gated channel subfamily A member 3,True,True,Exon
cg15991909,ZBTB8A,chr1,32539339.0,"Intron (ENST00000480336.1/653121, intron 6 of 9)",74282.0,zinc finger and BTB domain containing 8A,True,False,Intron
cg16390944,SSBP3,chr1,54407686.0,"Intron (ENST00000525990.1/23648, intron 1 of 8)",5792.0,single stranded DNA binding protein 3,True,False,Intron
cg16486681,ZBTB7B,chr1,155005813.0,"Intron (ENST00000417934.6/51043, intron 1 of 4)",3183.0,zinc finger and BTB domain containing 7B,True,False,Intron
cg16545804,MIR3659,chr1,38095514.0,"Intron (ENST00000432922.5/ENST00000432922.5, intron 1 of 3)",6283.0,microRNA 3659,True,False,Intron
cg16599143,FMO3,chr1,171089531.0,Promoter (1-2kb),-1370.0,flavin containing dimethylaniline monoxygenase 3,True,True,Promoter
cg16717607,PHC2,chr1,33368598.0,"Exon (ENST00000257118.5/1912, exon 5 of 14)",6994.0,polyhomeotic homolog 2,True,False,Exon
cg16816020,TRABD2B,chr1,47978738.0,"Intron (ENST00000606738.3/388630, intron 2 of 6)",18646.0,TraB domain containing 2B,True,False,Intron
cg16853731,POU3F1,chr1,38044783.0,3' UTR,2009.0,POU class 3 homeobox 1,True,False,threeUTR
cg16960327,ZNF326,chr1,90007481.0,"Exon (ENST00000340281.9/284695, exon 5 of 12)",12371.0,zinc finger protein 326,True,False,Exon
cg17267107,CASZ1,chr1,10669966.0,"Intron (ENST00000377022.8/54897, intron 4 of 20)",126679.0,castor zinc finger 1,True,False,Intron
