CGid,coef
Intercept,-6.356772178
cg00101675,-0.101353504
cg06259996,0.045149111
cg08938156,0.663271652
cg15168457,0.766234115
cg20370622,0.5491911
cg27593991,-0.369411124
cg20146241,-0.002222729
cg03747401,0.000492682
cg15403305,-0.000253547
cg02692845,-0.490593662
cg03679521,0.282266721
cg20236179,-0.102320369
cg11700079,0.358728283
cg01910711,0.179244863
cg14880272,-0.008148167
cg10501210,-0.277377634
cg26844246,0.160138445
cg04889095,0.222007631
cg13532184,0.289516582
cg24312350,0.161830401
cg26603143,-0.72555414
cg06482098,-0.069266116
cg19927064,1.412476859
cg08180952,0.218489613
cg10040836,-0.002598804
cg11686722,0.248000996
cg14297772,-0.212410327
cg11857072,-0.336689496
cg12501063,-0.229105127
cg14136214,-0.031930305
cg18168101,-0.129017152
cg15330117,-0.080674221
cg18418719,1.806027578
cg26845448,0.306361532
cg09474015,-0.480858001
cg07727941,-0.089030437
cg07991826,0.585346756
cg08510667,0.031267603
cg09606114,-0.129866284
cg21102477,-0.073397784
cg20023049,0.169354121
cg20804050,-1.321369915
cg25383995,-0.01341132
cg16717607,-0.046869846
cg22454769,0.000639658
cg26148010,0.034281503
cg25066947,-0.023362729
cg01019040,-0.001225076
cg25467897,-0.25262615
cg01998606,0.208019228
cg02828846,0.097898009
cg14172937,-0.07573239
cg22338839,-0.546324871
cg22844979,-0.025418919
cg08681110,0.172314244
cg09362546,-0.162794225
cg12325485,-0.177777194
cg15229894,-0.014541432
cg07423797,0.102672185
cg18060631,-0.274194105
cg02499612,-0.123567785
cg14865782,-0.147606142
cg20212950,-0.469851341
cg04847707,-0.067071704
cg16867657,0.09370173
cg17266282,0.05051112
cg18468088,0.041370545
cg26781330,0.109453558
cg04186556,-0.242846899
cg05911522,-0.016089608
cg17201550,0.163603368
cg18573296,0.112850107
cg11128281,0.257841317
cg11664765,0.380126654
cg25622623,0.111890056
cg27495736,-0.159510583
cg03708116,0.073436361
cg00900734,-0.001842275
cg00535482,-0.151438496
cg11666770,0.07125447
cg15547854,-0.06273339
cg20265593,0.537666428
cg17049911,0.098395831
cg21084050,-0.058267433
cg12815291,0.031182491
cg13496662,-0.084438948
cg02041553,0.69422447
cg05191959,-3.764436323
cg22113843,0.152062484
cg23754860,-0.225936545
cg25210084,0.001086359
cg12651099,0.253632619
cg20076842,-0.107928798
cg01150494,0.575928418
cg15571405,-0.205716271
cg12756474,-0.100706799
cg13057591,-0.012233343
cg09710440,1.85468949
cg26917960,0.177633092
cg21390586,-0.47211837
cg25140691,0.149110906
cg00310215,0.022029465
cg15809488,-0.471813578
cg01486146,0.125366903
cg05575054,0.094140661
cg23087015,0.690743561
cg09461098,-0.331083197
cg13909487,0.469459236
cg19591642,-0.293056301
cg07005811,-0.054121743
cg03663497,0.053377289
cg12053353,-0.02622204
cg11025714,-0.027340452
cg13753818,-0.001021425
cg10644072,-0.076933725
cg15746205,-0.190510715
cg09227056,1.436995391
cg13233081,-0.003364372
cg18141557,0.128817887
cg19711579,1.133288617
cg11084334,0.475738408
cg12841266,0.999456681
cg13702222,-0.19236484
cg19981759,0.024873945
cg23449696,0.164127402
cg24866418,0.540912434
cg25731502,-0.075896887
cg12428891,0.197037276
cg15741341,-0.011315598
cg12880090,-0.105456877
cg18304538,0.275639808
cg20615601,-0.238719201
cg24352905,1.73821818
cg27088374,-0.172613429
cg09817427,0.516067401
cg17215796,-0.010448122
cg27072792,-0.027400495
cg27201382,0.811053405
cg08563010,-0.317955569
cg10466667,-0.247705629
cg14903956,-0.083714102
cg18894136,-0.016046642
cg22069272,-0.291975844
cg23415880,0.033510249
cg23985931,0.159317241
cg12879445,0.357544055
cg11235379,0.303685223
cg15437942,0.122866361
cg16454989,-0.06611515
cg17856858,-0.12830834
cg20766695,1.063112086
cg26312920,-0.002258321
cg07547549,0.668011925
